URL,Date,Title,Content
https://www.themorning.lk/articles/QpCFSVsKJGz6H26sRzQy,27 Sep 2023,HIP supplies over 80% of marine bunkers to SL market,"The Hambantota International Port Group (HIPG) has benchmarked a 500,000 tonne volume in their bunkering business during the first eight months of 2023. The throughput, which is five times in volume compared to 2022, is attributed to the port’s strategic partnership with Sinopec Fuel Oil Lanka Limited (SFOL), for the supply and trade of marine bunker fuel.“These numbers, which are proof that the port is moving towards the target status of an energy hub, were made possible owing to the aggressive, proactive measures taken by HIPG to invest in the refurbishment of our tank farm facilities and upgrading them to Lloyds Standard specifications. We have also introduced an independent ISO-certified oil testing laboratory facility at the tank farm premises for the convenience of our partners. This lab facility provides shipping lines with the critical advantage of obtaining oil quality reports on a real-time basis.”“The laboratory, run by Intertek UK is the only such facility available in Sri Lanka,” HIPG COO Tissa Wickremasinghe said.Through the offer of marine bunker fuel at competitive pricing to local bunker suppliers, HIP has facilitated the supply of over 80% of the marine bunker market in Sri Lanka this year. HIP’s overall oil and gas throughput to date was further complemented by the handling of 150,000 tonnes of liquified petroleum gas. The Hambantota Port and its partner Sinopec have worked together to uplift the marine bunker business based at the port since 2022. They introduced the supply of very low sulphur fuel oil (VLSFO) to ocean-going vessels, for the first time in South Asia.  “This is a significant cost saving to shipping lines in terms of not having to deviate to another port, specifically for the purpose of obtaining marine bunkers. HIP’s bunkering facility has greatly benefitted Ro-Ro liners who can easily refuel during their normal port stay which helps them to increase vessel operational efficiency. Over two dozen Ro-Ro vessels have taken advantage of this new service provided by HIP.  The ability to service deep-sea fishing vessels with marine diesel to meet their needs on a real-time basis is another new dimension we bring to our bunkering business, as well as the highly competitive rates we offer. The port is well positioned on the global map as a reliable marine bunker supplier to vessels plying the main east-west shipping route,” the COO said.Over 110 international vessels, covering various categories including container, bulk cargo, tankers, and others, have refuelled at HIP this year, gradually positioning it as an energy supply hub along the Far-East to Europe shipping routes. HIPG CEO Johnson Liu said HIPG’s vision to establish the port as a regional energy hub will further strengthen its marine services such as ship lay-ups, ship repairs, ship handling, ship crew changes, and the provision of ship engineering stores facilitated through local third-party agencies. “I am confident all of these strategic endeavours will position the Hambantota International Port as a pre-eminent global maritime hub in the years to come,” he added.
"
https://www.themorning.lk/articles/0k1UytbmmQIl9M4NZbdY,02 Jul 2023 | By Roshani Fernando,SLTDA concerned over pilot resignations,"Sri Lanka Tourism Development Authority (SLTDA) Chairman Priantha Fernando has expressed concerns regarding the resignations of SriLankan Airlines pilots. He has accordingly notified the Civil Aviation Authority of Sri Lanka (CAASL) that there are trained pilots with experience who could fill the vacancies. Speaking to The Sunday Morning Business, he noted: “It may be necessary to consider recruiting pilots from outside Sri Lanka to address the impending shortage, as leaving aircraft grounded on the tarmac without pilots is not a viable option.”According to reports, 42 pilots of SriLankan Airlines submitted their resignation letters last week, while 85 pilots have requested certification letters from the CAASL. The crisis has been attributed to the relatively low pilot wages, currently set at $ 10,000 per month. With the airline employing approximately 240 pilots, the resignation of a significant number will have an adverse impact on the country’s tourism sector.SriLankan Airlines CEO Richard Nuttall acknowledged the airline’s struggle to retain talent, with technical staff and pilots being lured away by other carriers. To address this issue, the airline is planning to initiate cadet programmes and recruit expatriate pilots.However, Minister of Ports, Shipping, and Aviation Nimal Siripala de Silva denied the existence of a pilot resignation crisis, attributing the decrease in the number of pilots to the reduced fleet size rather than a shortage. “When the airline had 26 aircraft, it employed 312 pilots, whereas with the current fleet of 16 aircraft there are 266 pilots,” he said.He also pointed out that around 150 pilots had already applied to join SriLankan Airlines, suggesting a potential inflow of new pilots.Regardless, it is essential to recognise that SriLankan Airlines is undergoing restructuring as a State-Owned Enterprise. The first step in this process, aimed at privatising numerous State-owned businesses including the airline, involves restructuring the company’s balance sheets. To facilitate this, the Government has established a State-Owned Enterprise Restructuring Unit (SOERU) under the Ministry of Finance, which collaborates with international contractors.At a later stage, SriLankan Airlines will invite Expressions of Interest (EoIs) for its acquisition. Prospective buyers, including India’s Tata Group (owners of Air India), have shown interest in the matter. However, proceedings will need to await the restructuring of the company’s balance sheet. There persists a strong reluctance to take risks with tourism, given the significant investments made in promotional programmes across various countries. The President aims to attract high-end tourists and exceed $ 15 billion in tourist earnings. Notably, the country is currently experiencing a surge in tourist arrivals.According to SLTDA statistics, from January to May 2022, Sri Lanka received 378,521 tourists, while during the same period in 2023, the number increased to 524,486 tourists. Air travel remains the primary mode of transportation for tourists compared to sea travel. Finding solutions to the pilot shortage is crucial for SriLankan Airlines in order to ensure that all aircraft are operational and meet the increasing demand for air seat capacity in the country.
"
https://www.themorning.lk/articles/RxtcP0n603mX24enxWwj,12 Dec 2023,3rd reading passed by majority vote,"The Value Added Tax (Amendment) Bill, Finance Bill were passed at Parliament yesterday (11), following its third reading. The Value Added Tax (Amendment) Bill with amendments was passed by a majority of 45 votes. The press release issued by the Department of Communication of Parliament stated that around 4.58 p.m. yesterday, during the voting for the third reading of the Bill, 100 votes were cast in favour of it and 55 votes were cast against it. The third reading of the Finance Bill was also passed without amendment. And with the third reading the supplementary estimate was also passed by Parliament, yesterday(11).The motion presented by the Leader of the House Dr. Susil Premajayantha to take up the second reading of the Value Added Tax (Amendment) Bill and the Finance Bill was passed in Parliament by majority vote earlier. It was mentioned in the motion that immediately after the business committee stage of the Appropriation Bill 2024, scheduled for the said day was over, second reading of the Value Added Tax (VAT) (Amendment) Bill and the Finance Bill mentioned in the order paper shall be passed yesterday itself, a statement issued in this regard explained. Furthermore, it was also mentioned in the motion that the Supplementary Sum mentioned in the order paper also be approved by Parliament yesterday. Accordingly, the Opposition called for a division and during the voting held yesterday at around 10 a.m. 92 votes were cast in favour of it and 41 votes were against it. One MP abstained from voting and eventually the motion brought by the ruling party was passed with a majority of 51 votes.
"
https://www.themorning.lk/articles/ZA5Ki6f1D7Hy6bJqDpNe,10 Sep 2023 | By Dhananath Fernando,SL’s tariff regime,"The Minister of Finance mentioned that “many surprises” would be contained in the Annual Budget for 2024. In economics, surprises are something we would want to avoid; the more surprises we get, the lower stability is. Frequent surprises are a sure way to push away investors and the business community. One surprise measure mentioned recently in Parliament was a tax on primary dealers in the bond markets as they were left out in the Domestic Debt Restructuring (DDR) process. Just a few weeks ago, this column speculated about the likelihood of selective taxes, such as super gains tax or wealth tax, in the Annual Budget for 2024. If the reason to impose a special tax on primary dealers is the high profits they made as a result of being left out of the restructuring process, does this mean the Government is admitting it made a mistake by leaving them out of the debt restructuring processes? If so, we cannot correct it by imposing a tax, since two wrongs do not make a right.A special tax on selected groups or industries is the opposite of tax holidays. The way we select industries or business categories for special taxes is the same way we select industries for tax holidays. Both are two sides of the same coin. It is true that Government revenue is low compared to the size of our economy, but it is definitely not the fault of the businesses which made profits, unless their profits are exempted from taxes. Sri Lanka’s corporate tax of 30% is a reasonably high rate. Even the UK increased its corporate tax to 25% in 2023 from 19%. Tax competitiveness is already low due to unreasonably high taxes and an unstable economic and political environment. Therefore, what is the rationale for charging a higher tax on a selected industry or a group if they already pay a corporate tax of 30%? The unfortunate reality is that we cannot increase tax revenue simply by imposing selected taxes or by spontaneously increasing rates. This would bring the same consequences as our tariff structure. The issue with the tariff structure in Sri Lanka is that we have imposed different taxes for different HS codes, making it very complicated. Some HS codes are charged a CESS and others are charged para-tariffs, creating considerable doubt as to which taxes are applicable when importing anything. This complexity in the tariff structure has resulted in a high level of corruption. It is argued that bringing the tariff rates down and making it simple will improve tariff revenue. The same logic is applied for income tax and corporate taxes. The more complicated and more targeted special segments are, the more likely tax evasion is, and will eventually lead to our overall tax revenue further deteriorating. In 2015 and 2021, a similar attempt was made to impose a singular super gains tax on companies earning over Rs. 2 billion. There were many instances where special taxes were imposed on the financial sector without any detailed analysis or impact analysis on overall tax principles. Has it made our tax revenue better? The answer is an obvious no. Therefore, special taxes which may come as surprises for selected industries may not lead to the expected outcome. Instead, they will create more confusion in the market. It is likely that the Government is targeting primary dealers due to the controversy that arose during the bond scam in 2015 and similar incidents, with suspicions of insider trading taking place afterwards. If the reason for super profits is insider trading, the answer is a forensic audit and bringing the related parties to justice. The Government can start the process by releasing the full forensic audit report on the investigation of the presidential commission appointed for the bond scam.Imposing a special tax to correct the super profits of insider trading may start a vicious cycle of unethical trading and business operations.Investors will consider the occurrence of a similar circumstance if they make better profits – that they too will be liable for a special tax in addition to the corporate tax they pay. More importantly, it dilutes the principles of an aspirational society. Assuming that someone should pay a higher tax simply because they made a profit is discriminatory and acts as a disincentive for generating wealth and profit. Those who made a higher profit are already paying a higher tax proportionately, compared to those who made less profit, at a rate of 30%. Taxes have to be imposed based on principles of simplicity, transparency, neutrality, and stability. These are referred to as ‘principles’ because there is a rationale behind it. Statistics without principles and principles without statistics are both dangerous.
"
https://www.themorning.lk/articles/yXsLV2d7b4GJFXwsuYoL,19 Jul 2023,Eastern Province Governor’s discussion with HCL opens gateway for 5K IT Jobs,"In a recent visit to India to promote Sri Lankan IT industry EAstern Province Governor M. Senthil Thondaman initiated a groundbreaking dialogue with Indian IT giant HCL Ltd. to explore opportunities for collaboration in the IT sector.During the visit, Governor Thondaman met senior executives of HCL Ltd. in New Delhi. To discuss opening up a gateway to a 5000-seat facility for Sri Lankan IT talents. The governor's proposal received an overwhelming positive response from HCL, reinforcing their commitment to expanding their operations in Sri Lanka.As a result the HCL Ltd. is expected to sign an agreement with the Board of Investment (BOI) on the approval of the Chairman Dinesh Weerakody who has also played a supportive role in Sri Lanka to establish this state-of-the-art facility. This landmark initiative undertaken by Governor Thondaman will generate employment opportunities for 5000 IT engineers across Sri Lanka, making it the largest investment in the IT sector in the country's history.Governor M. Senthil Thondaman expressed his enthusiasm for this transformative collaboration, stating: ""This partnership with HCL Ltd. will pave the way for significant growth in the IT sector and create a multitude of employment opportunities for our talented IT professionals. We are delighted to have HCL's support in our mission to position Sri Lanka as a leading IT hub in the region.""The facility will serve as a hub for HCL's operations in Sri Lanka, providing a conducive environment for innovation, collaboration, and skills development. It will leverage the expertise of local IT professionals and enable them to work on cutting-edge projects for both local and international clients.The initiative aligns with the government's vision of attracting foreign direct investment and promoting the digital transformation of Sri Lanka's economy. It will contribute to the country's economic growth and reinforce its reputation as an attractive destination for IT and technology-related investments.HCL Ltd., a renowned global IT services provider, expressed great interest in investing in Sri Lanka and tapping into its pool of talented IT professionals. The company recognises the immense potential of the Sri Lankan workforce and the country's strategic location in the region.
"
https://www.themorning.lk/articles/onGTfJ08URGGWnAyQ3FX,02 Jun 2023,Gross official reserves surpass $ 3 Bn by end May 2023,"The level of gross official reserves is estimated to have surpassed $ 3 billion as of 31 May 2023, the Central Bank of Sri Lanka (CBSL) says.This includes the swap facility from the People Bank of China, equivalent to around $ 1.4 billion, which is subject to conditionalities on usability.In its latest Monetary Policy Review, the Central Bank said it has absorbed a sizable amount of foreign exchange from the domestic forex market thus far in 2023, resulting in a steady increase in gross official reserves.The renewed foreign investor appetite for short-term government securities has also helped improve forex liquidity in the recent months.The exchange rate, which is allowed to be determined by market forces, continues to reflect positive market sentiments underpinned by the improvement in liquidity in the domestic forex market.Reflecting the improved balance of payments (BOP) conditions, the Central Bank said it relaxed the cash margin deposit requirements imposed on selected imports in May 2023, and assured that further measures would be initiated to loosen capital flow restrictions in the period ahead.
"
https://www.themorning.lk/articles/vxCEssMk2e2rqI8qdk0N,26 Apr 2024,"SL, S’pore sign MoU on boating and yachting industries","Sri Lanka and Singapore have signed a Memorandum of Understanding (MoU) with a view of working together to promote the boating and yachting industries.The agreement was forged between the Chamber of Marine Industries of Sri Lanka (CMISL) and the Singapore Boating Industry Association (SBIA) on 22 April, the Ministry of Foreign Affairs said in a statement.Signing of the MoU was done by CMISL Chairperson and Sri Lanka Singapore Business Council Vice President Indhra Kaushal Rajapaksa  and  Singapore Boating Industry Association ChairpersonY.P. Loke, in the presence of Sri Lankan High Commissioner to Singapore Senarath Dissanayake, One 15 Marina Chairperson Arthur Tay,  International Council of Marine Industry (ICOMIA) President Darren Vaux, and, High Commission of Sri Lanka’s.Minister (Commercial) Yasantha Yaddehi.  The initial negotiations between the two associations were facilitated by the High Commission of Sri Lanka in Singapore.Both parties agreed that the MoU marks the initial step towards mutually beneficial efforts and cooperation by promoting positive relations and collaboration in the boating sector.At the signing, the High Commissioner of Sri Lanka in Singapore stated that the collaboration between CMISL and SBIA creates a dynamic and healthy environment that propels growth and prosperity for business on both sides.
"
https://www.themorning.lk/articles/wOHLFXkokaebLXK9w49V,18 Feb 2024 | – By Shenal Fernando,T-bill yields hit single digits,"Increased market liquidity leads to dropYields at last week’s Treasury bill (T-bill) auction fell to single digits for the first time since March 2022 amidst increased liquidity in the market, representing a marked turnaround for the nation and signifying that the economy has started turning around.During the economic crisis in 2022, within a span of six months, the T-bill yields in the primary market surged by over 2,000 basis points and peaked at 32.89% for three-month bills, 31.28% for six-month bills, and 30.50% for one-year bills at the auction on 31 August 2022.However, following the corrective measures taken by the Central Bank of Sri Lanka (CBSL) since then, yields have progressed steadily.According to the data published by the CBSL, it had received bids totalling Rs. 279.7 billion for the Rs. 135 billion T-bills on offer at the T-bill auction on Wednesday (14).Accordingly, at the auction, Rs. 38.4 billion from the received bids of Rs. 95.6 billion for the three-month bills had been accepted by the CBSL at a Weighted Average Yield Rate (WAYR) of 9.79%, down 117 basis points from the previous auction. Similarly, Rs. 48.4 billion from the received bids of Rs. 105.3 billion for the six-month bills had been accepted by the CBSL at a WAYR of 9.86%, down 121 basis points from the previous auction.Furthermore, Rs. 48.3 billion from the received bids of Rs. 78.8 billion for the 12-month bills had been accepted by the CBSL at a WAYR of 10.73%, down 71 basis points from the previous auction.
"
https://www.themorning.lk/articles/qXDvyreda4yXXICyPUbW,17 Dec 2023 | By Shenal Fernando,Sovereign ratings upgrade: Semasinghe confident of positive outcome soon,"Expects final resolution with private creditors in early 2024Foresees debt resolution as catalyst for economic resurgenceIMF approval signals Sri Lanka’s strides toward fiscal stability Disbursement bolsters path to debt resolution with private creditorsThe State Minister of Finance anticipates that ratings agencies will review Sri Lanka’s sovereign ratings once the country reaches a final resolution with its private sovereign creditors, which he expects to be completed in early 2024.Speaking to The Sunday Morning Business, State Minister of Finance Shehan Semasinghe revealed that rating agencies were mainly focused on Sri Lanka’s debt restructuring process and that a sovereign rating upgrade would follow once the country reached a final resolution with its external sovereign creditors. He expressed confidence that Sri Lanka would be able to reach a final resolution with its creditors by early 2024.He stated: “We have already reached an agreement in principle with the official creditors and we are now engaging with private creditors. We have to reach a resolution with the private creditors as well. The rating agencies will consider a rating upgrade once we sign Memoranda of Understanding (MoUs) with the creditors and debt resolution is completed.”He observed that a sovereign upgrade at this juncture would prove to be a significant boost for the Sri Lankan economy.Semasinghe shared that they were looking to sign the respective MoUs with creditors as soon as possible and that they expected the process to be completed during the early part of the first quarter of 2024.Sri Lanka successfully reached agreements in principle with the Official Creditor Committee and the Export-Import Bank of China on its debt restructuring in November and October respectively, providing it the required financial assurances to obtain the second tranche of the Extended Fund Facility (EFF) from the IMF.Consequently, on Wednesday (13), the IMF Executive Board approved Sri Lanka’s first review under the EFF allowing for the immediate disbursement of SDR 254 million (about $ 337 million), bringing the total IMF financial support disbursed so far to SDR 508 million (about $ 670 million).
"
https://www.themorning.lk/articles/lejY8dIClMh8D6EoyK5M,15 Nov 2023,Sampath Bank PLC records Rs. 22 Bn PBT,"Sampath Bank registered profit before tax (PBT) of Rs. 22.0 billion and profit after tax (PAT) of Rs. 12.3 billion for the nine months ended 30 September, recording a growth of 136.4% and 71.5% respectively against the subdued financial figures reported during the corresponding period in 2022.Issuing a press release, the bank reported gross interest income of Rs. 153.4 billion for the period under review, up 44.6% from the Rs. 106.1 billion recorded in the corresponding period of the previous year. While the Average Weighted Prime Lending Rate (AWPLR) registered as at 30 September 2023 was 1,128 bps lower than the AWPLR reported as at 30 September 2022, the average AWPLR remained considerably higher throughout the current reporting period compared to the corresponding period in the previous year. Interest expense for the period under review grew at a faster pace than the interest income as a consequence of the numerous interest rate hikes, resulting in a marginal 0.3% reduction in Nett Interest Income. Net Interest Margin also recorded a decline of 47 basis points from 5.66% as at 31 December 2022 to 5.19% as at the reporting date, which is attributed primarily to the downward trend in the AWPLR from Q1 2023.Sampath Bank’s nett fee and commission income (NFCI) increased by 10.0% during the period under review compared to the corresponding period in the previous year. Growth experienced in the period was mainly on account of the increase in fee and commission income derived from card, trade, and electronic channels, as well as remittance-related activities.Sampath Bank posted a nett other operating loss of Rs. 2.3 billion in the first nine months of 2023 compared to a gain of Rs. 18.0 billion reported in the corresponding period of 2022, largely due to the Rs. 2.8 billion exchange loss stemming from appreciation of the LKR against the USD by 11.5%. This was however counterbalanced by the bank recording a nett trading gain of Rs. 1.7 billion for the first nine month period ending 30 September 2023, compared to a loss of Rs. 3.0 billion reported in the corresponding period of the previous year, which was mainly due to revaluation gains derived from its forward exchange contracts. The bank continued with its conservative and prudent provisioning policy and posted a total impairment charge of Rs. 14.4 billion for the period, though 70.4% less than the charge for the corresponding period in the previous year. The impairment charge for the current review period comprises Rs. 12.5 billion on account of loans and advances (corresponding period in 2022: Rs. 37.7 billion) and Rs. 1.8 billion on other financial instruments (corresponding period in 2022: Rs. 10.3 billion), as well as an additional impairment charge of Rs. 0.2 billion on commitments and contingencies (corresponding period in 2022: Rs. 0.8 billion).  Even though the impairment charge for loans and advances for the first nine months of 2023 decreased by 66.9% compared to the same period in the previous year, the total provision cover of the bank increased by 370 bps from 9.8% as at end September 2022 to 13.5% as at 30 September 2023.
"
